UNIXTIME,CO2
1581897604,514
1581897605,514
1581897606,514
1581897607,514
1581897608,0
1581897609,514
1581897610,514
1581897611,514
1581897612,514
1581897613,514
1581897614,514
1581897615,514
0,514
1581897617,514
1581897618,514
1581897619,514
1581897620,514
1581897621,515
1581897622,515
1581897623,10000
1581897624,514
1581897626,514
1581897627,514
1581897628,514
1581897629,514
1581897630,514
1581897631,514
1581897632,515
1581897633,515
1581897634,515
1581897635,515
1581897636,515
1581897637,515
1581897638,515
1581897639,515
1581897640,515
1581897641,515
1581897642,515
1581897643,400
1581897644,514
1581897645,514
1581897646,514
1581897647,513
1581897648,513
1581897649,513
1581897650,513
1581897651,513
1581897652,513
1581897653,513
1581897654,513
1581897655,513
1581897656,513
1581897657,513
1581897658,513
1581897659,513
1581897660,514
1581897661,514
1581897662,514
1581897663,514
1581897665,515
1581897666,400
1581897667,515
1581897668,516
1581897669,516
1581897670,516
1581897671,516
1581897672,516
1581897673,516
1581897674,517
1581897675,517
1581897676,517
1581897677,517
1581897678,517
1581897679,517
1581897680,517
1581897681,517
1581897682,517
1581897683,516
1581897684,516
1581897685,516
1581897686,516
1581897687,516
1581897688,516
1581897689,516
1581897690,515
1581897691,515
1581897692,515
1581897693,514
1581897694,514
1581897695,10000
1581897696,514
1581897697,514
1581897698,513
1581897699,513
1581897700,513
1581897701,513
1581897703,513
1581897704,514
1581897705,514
1581897706,513
1581897707,513
1581897708,0
1581897709,513
1581897710,513
1581897711,513
1581897712,513
1581897713,514
1581897714,514
1581897715,514
1581897716,514
1581897717,514
1581897718,514
1581897719,514
1581897720,514
1581897721,514
1581897722,514
1581897723,514
1581897724,514
1581897725,515
1581897726,515
1581897727,515
1581897728,514
1581897729,514
1581897730,514
1581897731,514
1581897732,514
1581897733,515
1581897734,515
1581897735,515
1581897736,515
1581897737,515
1581897738,515
1581897739,515
1581897741,515
1581897742,515
1581897743,514
1581897744,514
1581897745,514
1581897746,514
1581897747,514
1581897748,514
1581897749,514
1581897750,514
1581897751,514
1581897752,514
1581897753,514
1581897754,514
1581897755,515
1581897756,515
1581897757,515
1581897758,515
1581897759,515
1581897760,515
1581897761,515
1581897762,515
1581897763,514
1581897764,514
1581897765,514
1581897766,514
1581897767,514
1581897768,514
1581897769,514
1581897770,514
1581897771,514
1581897772,514
1581897773,514
1581897774,514
1581897775,514
1581897776,514
1581897777,515
1581897779,515
1581897780,515
1581897781,515
1581897782,515
1581897783,515
1581897784,515
1581897785,515
1581897786,515
1581897787,515
1581897788,514
1581897789,514
1581897790,514
1581897791,514
1581897792,514
1581897793,514
1581897794,514
1581897795,514
1581897796,513
1581897797,513
1581897798,513
1581897799,513
1581897800,514
1581897801,514
1581897802,514
1581897803,514
1581897804,514
1581897805,514
1581897806,514
1581897807,515
1581897808,515
1581897809,515
1581897810,515
1581897811,514
1581897812,514
1581897813,514
1581897814,514
1581897815,514
1581897817,514
1581897818,514
1581897819,514
1581897820,514
1581897821,514
1581897822,513
1581897823,513
1581897824,513
1581897825,513
1581897826,513
1581897827,513
1581897828,513
1581897829,513
1581897830,513
1581897831,513
1581897832,513
1581897833,513
1581897834,513
1581897835,513
1581897836,513
1581897837,513
1581897838,513
1581897839,513
1581897840,513
1581897841,513
1581897842,513
1581897843,513
1581897844,513
1581897845,513
1581897846,513
1581897847,513
1581897848,513
1581897849,513
1581897850,513
1581897851,513
1581897852,513
1581897853,513
1581897855,513
1581897856,513
1581897857,513
1581897858,513
1581897859,513
1581897860,513
1581897861,513
1581897862,513
1581897863,513
1581897864,514
1581897865,514
1581897866,514
1581897867,514
1581897868,514
1581897869,514
1581897870,514
1581897871,514
1581897872,514
1581897873,514
1581897874,514
1581897875,514
1581897876,514
1581897877,514
1581897878,514
1581897879,514
1581897880,514
1581897881,514
1581897882,514
1581897883,514
1581897884,514
1581897885,513
1581897886,513
1581897887,513
1581897888,513
1581897889,513
1581897890,513
1581897891,512
1581897893,512
1581897894,512
1581897895,512
1581897896,512
1581897897,512
1581897898,512
1581897899,513
1581897900,513
1581897901,513
1581897902,513
1581897903,513
1581897904,513
1581897905,513
1581897906,513
1581897907,513
1581897908,512
1581897909,512
1581897910,512
1581897911,512
1581897912,513
1581897913,513
1581897914,513
1581897915,513
1581897916,513
1581897917,513
1581897918,512
